   step	 time	 cost	distance
  313	 30.4	 39.8	 31.3
  314	 30.6	 40.1	 31.5
  315	 30.8	 40.3	 31.7
  316	 31.0	 40.6	 31.9
  317	 31.2	 40.8	 32.1
  318	 31.4	 41.1	 32.3
  319	 31.6	 41.4	 32.5
  320	 31.8	 41.6	 32.8
  321	 32.0	 41.9	 33.0
  322	 32.2	 42.1	 33.2
  323	 32.4	 42.4	 33.4
  324	 32.6	 42.7	 33.6
  325	 32.8	 42.9	 33.8
  326	 33.0	 43.2	 34.0
  327	 33.2	 43.5	 34.2
  328	 33.4	 43.7	 34.4
  329	 33.6	 44.0	 34.7
  330	 33.8	 44.3	 34.9
  331	 34.0	 44.5	 35.1
  332	 34.2	 44.8	 35.3
  333	 34.4	 45.0	 35.5
  334	 34.6	 45.3	 35.7
  335	 34.8	 45.6	 35.9
  336	 35.0	 45.8	 36.2
  337	 35.2	 46.1	 36.4
  338	 35.4	 46.4	 36.6
  339	 35.6	 46.6	 36.8
  340	 35.9	 46.9	 37.0
  341	 36.1	 47.2	 37.2
  342	 36.3	 47.4	 37.5
  343	 36.5	 47.7	 37.7
  344	 36.7	 48.0	 37.9
  345	 36.9	 48.2	 38.1
  346	 37.1	 48.5	 38.3
  347	 37.4	 48.8	 38.6
  348	 37.6	 49.1	 38.8
  349	 37.8	 49.3	 39.0
  350	 38.0	 49.6	 39.2
  351	 38.2	 49.9	 39.4
  352	 38.5	 50.1	 39.7
  353	 38.7	 50.4	 39.9
  354	 38.9	 50.7	 40.1
  355	 39.1	 50.9	 40.3
  356	 39.4	 51.2	 40.6
  357	 39.6	 51.5	 40.8
  358	 39.8	 51.7	 41.0
  359	 40.0	 52.0	 41.3
  360	 40.2	 52.3	 41.5
  361	 40.5	 52.5	 41.8
  362	 40.7	 52.8	 42.0
  363	 40.9	 53.1	 42.2
  364	 41.2	 53.4	 42.5
  365	 41.4	 53.6	 42.7
  366	 41.6	 53.9	 43.0
  367	 41.8	 54.2	 43.2
  368	 42.1	 54.5	 43.5
  369	 42.3	 54.7	 43.7
  370	 42.5	 55.0	 44.0
  371	 42.8	 55.3	 44.2
  372	 43.0	 55.5	 44.5
  373	 43.2	 55.8	 44.7
  374	 43.5	 56.1	 45.0
  375	 43.7	 56.4	 45.2
  376	 43.9	 56.6	 45.5
  377	 44.2	 56.9	 45.7
  378	 44.4	 57.2	 46.0
  379	 44.7	 57.5	 46.2
  380	 44.9	 57.7	 46.5
  381	 45.1	 58.0	 46.7
  382	 45.4	 58.3	 47.0
  383	 45.6	 58.6	 47.2
  384	 45.9	 58.9	 47.5
  385	 46.1	 59.2	 47.7
  386	 46.4	 59.4	 48.0
  387	 46.6	 59.7	 48.2
  388	 46.8	 60.0	 48.5
  389	 47.1	 60.3	 48.7
  390	 47.3	 60.6	 49.0
  391	 47.6	 60.9	 49.3
  392	 47.8	 61.2	 49.5
  393	 48.1	 61.4	 49.8
  394	 48.3	 61.7	 50.0
  395	 48.6	 62.0	 50.3
  396	 48.8	 62.3	 50.6
  397	 49.1	 62.6	 50.8
  398	 49.3	 62.9	 51.1
  399	 49.6	 63.2	 51.3
  400	 49.9	 63.5	 51.6
  401	 50.1	 63.8	 51.9
  402	 50.4	 64.0	 52.1
  403	 50.6	 64.3	 52.4
  404	 50.9	 64.6	 52.7
  405	 51.1	 64.9	 53.0
  406	 51.4	 65.2	 53.2
  407	 51.6	 65.5	 53.5
  408	 51.9	 65.8	 53.8
  409	 52.1	 66.1	 54.1
  410	 52.4	 66.4	 54.3
  411	 52.7	 66.7	 54.6
  412	 52.9	 67.0	 54.9
  413	 53.2	 67.3	 55.2
  414	 53.4	 67.6	 55.5
  415	 53.7	 67.9	 55.7
  416	 53.9	 68.2	 56.0
  417	 54.2	 68.6	 56.3
  418	 54.5	 68.9	 56.6
  419	 54.7	 69.2	 56.9
